coordinate_velocity_c,positive_energy_required_J,energy_scaling_factor,efficiency_factor,tidal_acceleration_g,t_stress_tensor,viable_operation,earth_proxima_travel_days,energy_per_lightyear_TJ
1.0,3.337787207130948e+57,1.0,2.9959968624230156e-46,0.0005027719772829841,4.426877775031519e+36,True,1548.66,3.337787207130948e+45
3.0,3.1735714343994623e+58,9.5080100601361,3.1510240770402913e-47,0.013212794443557689,4.209079841999259e+37,False,516.22,3.1735714343994624e+46
5.0,9.140042084724766e+58,2.880049267412928,1.0940868660454455e-47,0.05956003086738878,1.2122357315432488e+38,True,309.732,9.140042084724767e+46
7.0,1.8445994680660587e+59,2.0181520511254902,5.4212310981984305e-48,0.15918453767478558,2.4464760280616167e+38,True,221.23714285714286,1.8445994680660586e+47
9.0,3.127504768269013e+59,1.6954926109503847,3.19743717146584e-48,0.32963862901734814,4.147982028445717e+38,True,172.07333333333335,3.1275047682690128e+47
11.0,4.779411124429111e+59,1.5281866786966987,2.0923079726049884e-48,0.5865820705761192,6.338890879344055e+38,True,140.78727272727272,4.779411124429111e+47
13.0,6.8158186990204345e+59,1.4260791803790613,1.4671751760998563e-48,0.9439565003386602,9.039760309727279e+38,True,119.12769230769231,6.8158186990204346e+47
15.0,9.25127716856936e+59,1.357324420894433,1.0809318343605984e-48,1.414141605428709,1.2269887427425058e+39,False,103.244,9.251277168569359e+47
17.0,1.2099524118795718e+60,1.3078760800620157,8.26478785596678e-49,2.008095238210174,1.6047492271382894e+39,False,91.09764705882354,1.2099524118795718e+48
19.0,1.5373572259586815e+60,1.2705931331386087,6.504669071798907e-49,2.7354793613442094,2.0389833484114005e+39,False,81.50842105263159,1.5373572259586816e+48
21.0,1.9085768076221674e+60,1.2414660531692605,5.2395061912434476e-49,3.604773461602646,2.5313286100301444e+39,False,73.74571428571429,1.9085768076221673e+48
23.0,2.3247833301623345e+60,1.218071665168511,4.3014761290901555e-49,4.6233768589327795,3.0833396551081106e+39,False,67.33304347826088,2.3247833301623346e+48
25.0,2.787089546540356e+60,1.1988599154080049,3.5879722674906905e-49,5.797701154676546,3.6964923180970566e+39,False,61.946400000000004,2.7870895465403558e+48
27.0,3.296551119214531e+60,1.1827933994107132,3.0334733599953094e-49,7.133253906134441,4.372186714817604e+39,False,57.357777777777784,3.296551119214531e+48
29.0,3.8541684519480286e+60,1.1691517323918705,2.594593392757822e-49,8.63471447981861,5.111749671969723e+39,False,53.402068965517245,3.854168451948029e+48
31.0,4.460888169958875e+60,1.157419097160683,2.2417060502308426e-49,10.3060029194222,5.916436690242616e+39,False,49.95677419354839,4.4608881699588746e+48
33.0,5.117604346052496e+60,1.1472164625233534,1.9540392972570412e-49,12.150342563956851,6.78743357052351e+39,False,46.92909090909091,5.117604346052496e+48
